archivo_excel,stem_excel,label_excel,ruta_origen,ruta_destino,accion,nota
ex9_1_4.bch,ex9_1_4,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex9_1_4.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex9_1_4.bch,copied,
ex9_1_5.bch,ex9_1_5,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex9_1_5.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex9_1_5.bch,copied,
ex9_1_8.bch,ex9_1_8,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex9_1_8.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex9_1_8.bch,copied,
ex9_2_1.bch,ex9_2_1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex9_2_1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex9_2_1.bch,copied,
ex9_2_2.bch,ex9_2_2,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex9_2_2.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex9_2_2.bch,copied,
ex9_2_3.bch,ex9_2_3,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex9_2_3.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex9_2_3.bch,copied,
ex9_2_4.bch,ex9_2_4,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex9_2_4.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex9_2_4.bch,copied,
ex9_2_5.bch,ex9_2_5,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex9_2_5.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex9_2_5.bch,copied,
ex9_2_6.bch,ex9_2_6,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex9_2_6.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex9_2_6.bch,copied,
ex9_2_7.bch,ex9_2_7,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex9_2_7.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex9_2_7.bch,copied,
ex9_2_8.bch,ex9_2_8,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ex9_2_8.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex9_2_8.bch,copied,
exbaron.bch,exbaron,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/exbaron.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/exbaron.bch,copied,
exinfinity2.bch,exinfinity2,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/exinfinity2.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/exinfinity2.bch,copied,
exinfinity3.bch,exinfinity3,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/exinfinity3.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/exinfinity3.bch,copied,
exp40.bch,exp40,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/exp40.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/exp40.bch,copied,
f1.bch,f1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/f1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/f1.bch,copied,
griewank.bch,griewank,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/griewank.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/griewank.bch,copied,
himmel11.bch,himmel11,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/himmel11.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/himmel11.bch,copied,
house.bch,house,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/house.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/house.bch,copied,
hs071.bch,hs071,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/hs071.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/hs071.bch,copied,
m4wd.bch,m4wd,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/m4wd.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/m4wd.bch,copied,
pressure-vessel.bch,pressure-vessel,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/pressure-vessel.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/pressure-vessel.bch,copied,
rastrigin.bch,rastrigin,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/rastrigin.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/rastrigin.bch,copied,
rosenbrock10.bch,rosenbrock10,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/rosenbrock10.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/rosenbrock10.bch,copied,
rosenbrock.bch,rosenbrock,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/rosenbrock.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/rosenbrock.bch,copied,
schaffer.bch,schaffer,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/schaffer.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/schaffer.bch,copied,
ship-1.bch,ship-1,medium,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/ship-1.bch,/home/vale/Escritorio/Clasificacion kmeans/medium/ship-1.bch,copied,
test_infinity1.bch,test_infinity1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/test_infinity1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/test_infinity1.bch,copied,
test_infinity2.bch,test_infinity2,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/test_infinity2.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/test_infinity2.bch,copied,
wall.bch,wall,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/easy/wall.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/wall.bch,copied,
alkyl.bch,alkyl,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/alkyl.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/alkyl.bch,copied,
alkylbis.bch,alkylbis,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/alkylbis.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/alkylbis.bch,copied,
bearing.bch,bearing,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/bearing.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/bearing.bch,copied,
ex14_2_3.bch,ex14_2_3,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex14_2_3.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_2_3.bch,copied,
ex14_2_7.bch,ex14_2_7,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex14_2_7.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex14_2_7.bch,copied,
ex2_1_7.bch,ex2_1_7,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex2_1_7.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex2_1_7.bch,copied,
ex2_1_8.bch,ex2_1_8,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex2_1_8.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex2_1_8.bch,copied,
ex2_1_9.bch,ex2_1_9,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex2_1_9.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex2_1_9.bch,copied,
ex2_1_9fact.bch,ex2_1_9fact,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex2_1_9fact.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex2_1_9fact.bch,copied,
ex5_2_2_case3.bch,ex5_2_2_case3,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex5_2_2_case3.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex5_2_2_case3.bch,copied,
ex5_3_2.bch,ex5_3_2,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex5_3_2.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex5_3_2.bch,copied,
ex6_1_3bis.bch,ex6_1_3bis,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex6_1_3bis.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex6_1_3bis.bch,copied,
ex6_1_4.bch,ex6_1_4,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex6_1_4.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex6_1_4.bch,copied,
ex6_2_11.bch,ex6_2_11,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex6_2_11.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex6_2_11.bch,copied,
ex6_2_12.bch,ex6_2_12,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex6_2_12.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex6_2_12.bch,copied,
ex6_2_14.bch,ex6_2_14,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex6_2_14.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex6_2_14.bch,copied,
ex6_2_6.bch,ex6_2_6,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex6_2_6.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex6_2_6.bch,copied,
ex6_2_8.bch,ex6_2_8,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex6_2_8.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex6_2_8.bch,copied,
ex6_2_9.bch,ex6_2_9,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex6_2_9.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex6_2_9.bch,copied,
ex7_3_4.bch,ex7_3_4,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex7_3_4.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex7_3_4.bch,copied,
ex7_3_4bis.bch,ex7_3_4bis,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex7_3_4bis.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex7_3_4bis.bch,copied,
ex7_3_5bis.bch,ex7_3_5bis,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex7_3_5bis.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex7_3_5bis.bch,copied,
ex8_4_4bis.bch,ex8_4_4bis,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex8_4_4bis.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex8_4_4bis.bch,copied,
ex8_5_2_1.bch,ex8_5_2_1,unsolved,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/ex8_5_2_1.bch,/home/vale/Escritorio/Clasificacion kmeans/unsolved/ex8_5_2_1_2.bch,copied,colisión de nombre -> renombrado
haverly.bch,haverly,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/haverly.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/haverly.bch,copied,
himmel16.bch,himmel16,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/himmel16.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/himmel16.bch,copied,
launch.bch,launch,hard,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/launch.bch,/home/vale/Escritorio/Clasificacion kmeans/hard/launch.bch,copied,
like-1.bch,like-1,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/like-1.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/like-1.bch,copied,
like.bch,like,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/like.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/like.bch,copied,
schwefel5-abs.bch,schwefel5-abs,unsolved,/home/vale/Escritorio/ibex-lib/benchs/optim/medium/schwefel5-abs.bch,/home/vale/Escritorio/Clasificacion kmeans/unsolved/schwefel5-abs_2.bch,copied,colisión de nombre -> renombrado
schwefel5.bch,schwefel5,unsolved,/home/vale/Escritorio/ibex-lib/benchs/optim/benchs-unconstrainedoptim/schwefel5.bch,/home/vale/Escritorio/Clasificacion kmeans/unsolved/schwefel5_2.bch,copied,colisión de nombre -> renombrado
chem-1.bch,chem-1,medium,/home/vale/Escritorio/ibex-lib/benchs/optim/hard/chem-1.bch,/home/vale/Escritorio/Clasificacion kmeans/medium/chem-1.bch,copied,
chem.bch,chem,medium,/home/vale/Escritorio/ibex-lib/benchs/optim/hard/chem.bch,/home/vale/Escritorio/Clasificacion kmeans/medium/chem.bch,copied,
chembis.bch,chembis,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/hard/chembis.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/chembis.bch,copied,
ex6_1_3.bch,ex6_1_3,easy,/home/vale/Escritorio/ibex-lib/benchs/optim/hard/ex6_1_3.bch,/home/vale/Escritorio/Clasificacion kmeans/easy/ex6_1_3.bch,copied,
